MAGOH,RBM22,SRRM4,PSF,NOVA1,SRSF6,RBM3,RBM45,SRSF1,SNRNP200,SRRM1,SF3B1,U2AF1,U2AF2,TCERG1,PRPF8,CELF1,ESRP1,ESRP2,RBM17,SNW1,SND1,TIA1,SRSF2,SRSF4,SRSF5,SRSF9,TRA2A,TRA2B,KHRSB1,RAVER1,PTBP1,SRSF3,Cancer
4686382,10824392,27916,50060682,687429,31367007,44365349,1699381,39612667,63616854,18329377,58673591,8243323,29320475,7465875,87062315,23715134,27359050,39133531,8759644,13005935,73388724,6569733,23517003,14495549,46537092,25910979,6370920,21204748,30231454,14299703,44599407,30922849,1
3047245,9132494,0.0000,36330114,1439298,41575604,28460206,1818182,33175465,63370683,25122454,75184253,9051652,29938201,8667124,106611734,24628061,20782788,16101320,10357824,11358816,67844663,16235599,21479637,18170443,53128862,20605783,9796292,22635233,28491646,13464561,49179828,42325475,1
2606015,8395090,34902,43656844,502589,45388866,30939445,1458903,37580129,69755104,23007426,62332921,8400371,27663985,7818688,102008045,25529084,37852723,19313119,10092822,12351485,141407797,17670173,18600681,14696782,39495668,22153465,12311262,18155941,29984530,15887995,53975866,37385520,1
3247031,8707838,28504,40814442,581948,43365796,25622328,1396675,30159145,71881235,26455731,68681654,9941715,29023036,7657508,122836525,25245629,18079378,22964197,9500416,11396059,63197336,11357202,23061421,15603664,55989453,20679989,10113794,20641132,28726062,13361088,45503747,40738274,1
2726309,8028449,0.0000,38389973,686003,42080758,16950915,1615427,38703852,53207286,37773035,50597652,9149769,27584490,6382070,84678051,18804696,23920313,21198862,9117752,10956955,87413732,10533618,21390786,15506937,42906439,24044824,9448595,20295269,24567769,13671291,39270722,36453219,1
3196429,9039286,10714,45476821,214286,40235714,13389286,1778571,37775000,60075000,23135316,66728111,11341433,32164223,8358609,105675744,22763301,23503980,19069962,10171764,12678676,86042731,16000000,27104047,14257227,39815668,28410557,13449518,22944282,30290742,14324256,51478844,41682447,1
3189103,9070513,28846,43276667,573718,47538462,26855769,1794872,40250000,68342949,22994702,73275716,8753014,38989541,13740789,113708527,13379971,64153394,13138011,9589262,13426665,148296091,19063911,33431080,15167080,54903725,22141475,15324142,28266886,34010256,16924474,62391755,50476279,1
4891059,7776108,11270,57627611,619835,47111195,33102930,2272727,40747558,55627348,24400185,49483557,8876795,28191292,6899027,90465493,16398796,20750347,15303381,9502084,11929134,66503011,7952756,19903289,16285317,32202409,21813340,9592404,21697545,26961556,13839741,40148217,40507179,1
3351955,9837481,15236,47742052,766887,52386998,34311833,1858812,43219909,72021331,24347399,60327118,10130847,29829899,7288191,86983971,16558718,16990514,16437684,10215898,11380438,66408243,11135100,22905038,17703631,44259078,20104678,10418711,22754334,28684985,12796860,39859339,43928688,1
3123797,6632457,19243,36204982,846697,31817404,24150096,1190934,29600171,65306821,29329653,43209779,10417981,27314669,5891167,96324921,15922713,20283912,15441640,9743691,12216088,87275237,4881703,15455402,13343849,28308360,28750000,7141167,20362776,30642744,13880126,40283912,34097003,1
2843050,8580901,51751,34000938,426943,36413035,26826231,1591332,35533274,57905717,40126176,53074073,8125632,26099826,6218100,100208565,19839625,22119595,13854704,8222789,11305931,88983600,6095033,15423090,15263492,36955592,20610410,6532243,18136125,26964531,12860455,41233775,31663730,1
